,time,consent,age,gender,pronouns,ethnicity,religion,political_affil,education,degree_name,income,disability,disability_name,cert_license,time_in_bx_anal,time_cert_license,country_live,province_live,state_live,country_practice,province_practice,state_practice,define_diversity,familiar_cis_fem,familiar_cis_male,familiar_trans_fem,familiar_trans_male,familiar_non_binary,familiar_gender_fluid,familiar_gender_neutral,familiar_asian,familiar_black,familiar_white,familiar_latinx,familiar_nat_amer,familiar_pac_isl,familiar_agnostic,familiar_amish,familiar_buddhism,familiar_christian,familiar_hinduism,familiar_islam,familiar_jehovah,familiar_judaism,familiar_atheist,familiar_paganism,familiar_wiccan,actions_recommend,survey_feedback,browser,ip_address,unique_id,location
0,10/21/20 12:30,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",46-60,Male,He/him/his,Jewish,None,Libertarian,Doctoral degree,,"$200,000 to $249,999",No,,"Board Certified Behavior Analyst-Doctoral
Licensed Behavior Analyst",26+ years,21-25 years,United States,,,"Canada
Ireland
United Kingdom
United States",,,A means of people to separate  each other and to  try to deal with media-induced divisions.,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,"None, treat everyone as an individual and not as a member of a group.",,Chrome 86.0.4240.75 / Windows,100.12.9.146,682348249,"40.620098114014, -73.751899719238"
1,10/21/20 12:41,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female ,She/her/hers,White ,Jewish ,Independent ,Master's degree,,"$100,000 to $149,999",No,,"Board Certified Behavior Analyst
Licensed Behavior Analyst",16-20 years,11-15 years,United States,,Connecticut ,United States,,Connecticut,"Differences of backgrounds, experiences, and culture, especially as in race/ethnicity/religion/neurodiversity/gender ",Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,Require furthering education and professional development in this and related topics  from credentialing bodies (BACB) ,,Mobile Safari 13.1.2 / iOS,107.77.225.33,682354036,"40.758800506592, -73.968002319336"
2,10/21/20 12:58,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female,She/her/hers,75% Ashkenaszi and 25% Sephardic (Eastern European and Spanish)/ In the US I am considered white,Jewish,"Fiscally republican, Socially democrat - Voted for Biden",Master's degree,,"$150,000 to $199,999",No,,Board Certified Behavior Analyst,21-25 years,16-20 years,United States,,,United States,,,A continuum used to measure whether the Metacontingencies identified within a population are experienced by a representative sub-community within a sample community of the population. ,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,,Very familiar,Very familiar,Very familiar,Very familiar,"Define the population, the community, and the sub-communities and then measure first.",,Chrome 86.0.4240.75 / Windows,108.53.184.217,682363048,"40.655899047852, -74.304496765137"
3,10/21/20 13:04,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,female,She/her/hers,white,atheist,socialist,Doctoral degree,,"$200,000 to $249,999",No,,Board Certified Behavior Analyst-Doctoral,11-15 years,11-15 years,United States,,Illinois,,,,the range of variables that a person may use to define themselves relative to their individual learning history and the contexts in which their behavior was shaped,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,,,Safari 14.0 / OS X,98.222.203.109,682372159,"40.476299285889, -86.957099914551"
4,10/21/20 13:08,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,female,She/her/hers,Caucasian,Jewish,Independent,Master's degree,,"$300,000 or above",No,,Board Certified Behavior Analyst,11-15 years,6-10 years,United States,,California,United States,,California,,Somewhat unfamiliar,Somewhat unfamiliar,Very familiar,Very familiar,Somewhat unfamiliar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Treat all people equally based on work output rather than who you know and what you look like.,,Chrome 86.0.4240.80 / OS X,108.185.110.3,682377843,"34.137901306152, -118.39189910889"
5,10/21/20 13:40,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Cisgender female  ,She/her/hers,Arab ,Islam ,,Master's degree,,"$50,000 to $74,999",No,,"Board Certified Behavior Analyst
Licensed Behavior Analyst",6-10 years,0-5 years,"United States
Other: Saudi Arabia ",,,"United States
Other: Saudi Arabia ",,,"The understanding that people identify with different cultures, in which all should be recognized, acknowledged and included",Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Very familiar,Somewhat familiar,Somewhat unfamiliar,"Present opportunities to collaborate with diverse groups of professionals.
Continue to have uncomfortable conversations.
Give access to students go read materials on diversity in classrooms ",Thank you for your continuous efforts to add and improve behavior analytic practices ,Mobile Safari 13.1.2 / iOS,5.41.173.234,682411327,"21.516899108887, 39.219200134277"
6,10/21/20 15:13,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female,She/her/hers,White,None,Democrat,Doctoral degree,,"$200,000 to $249,999",No,,"Board Certified Behavior Analyst
Licensed Behavior Analyst",11-15 years,0-5 years,United States,,Massachusetts,United States,,Massachusetts,"Having people of different ethnicities, backgrounds, gender identities, etc. take part in a workplace, school, or other situation. ",Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,"Provide scholarships for people of color, have more women in leadership positions in the field. ",,Chrome 83.0.4103.116 / Windows,76.19.125.241,682519059,"42.439300537109, -71.776901245117"
7,10/21/20 15:25,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female,She/her/hers,Greek,Orthodox Christian ,,Master's degree,,"$300,000 or above",No,,Other,11-15 years,0-5 years,United States,,,,,,"Different nationalities, cultures and religions working together ",Not at all familiar,Not at all familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Not at all familiar,Somewhat familiar,Very familiar,Somewhat familiar,Very familiar,Somewhat familiar,Very familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,More certificate programs ,,Mobile Safari 13.1.2 / iOS,108.14.225.105,682528449,"40.793899536133, -73.68620300293"
8,10/21/20 15:27,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",46-60,Female,She/her/hers,White ,Jewish,Democratic ,Master's degree,,"$20,000 to $34,999",No,,Other,21-25 years,6-10 years,United States,,NY,United States,,NY,,Not at all familiar,Not at all familiar,Very familiar,Very familiar,Somewhat familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Prefer not to answer,Prefer not to answer,I honestly think you can't do anything. Attitudes about this issue are based on a person's background and exposure- or having not been exposed to diversity as a child and adolescent.,,Mobile Safari 13.1.2 / iOS,69.202.129.241,682529036,"40.850399017334, -73.936897277832"
9,10/21/20 15:33,"Yes, I am at least 18 years of age, am a student of behavior analysis and/or am currently certified or licensed in behavior analysis. I understand the research procedures and agree to participate in this study. I understand I may contact Dr. Noor Syed at noor.syed@esc.edu with additional questions about research procedures.",31-45,Female,She/her/hers,African American,Catholic,Democratic,Master's degree,,"$75,000 to $99,999",No,,Other: NYS Special Education Teaching License ,0-5 years,0-5 years,United States,,New York City,United States,,,"Accepting, learning and understanding the differences among individuals and being able to work, live and service them.",Not at all familiar,Not at all familiar,Very familiar,Very familiar,Somewhat familiar,Not at all familiar,Not at all familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Very familiar,Not at all familiar,Somewhat familiar,Somewhat familiar,Very familiar,Somewhat familiar,Very familiar,Somewhat familiar,Somewhat familiar,Very familiar,Somewhat familiar,Prefer not to answer,Acquire first hand experience in areas of said expertise not merit based on theory and publication.,,Chrome Mobile 86.0.4240.99 / Android,172.58.231.101,682531974,"40.703498840332, -73.923500061035"
