,0,1
0,0,"0.022*""increase"" + 0.022*""diversity"" + 0.016*""others"" + 0.014*""population"" + 0.014*""diverse"" + 0.014*""group"" + 0.013*""aba"" + 0.012*""awareness"" + 0.012*""educate"" + 0.012*""background"" + 0.010*""people"" + 0.010*""area"" + 0.009*""field"" + 0.009*""training"" + 0.008*""include"" + 0.008*""even"" + 0.008*""individual"" + 0.008*""education"" + 0.008*""also"" + 0.007*""need"" + 0.007*""provide"" + 0.007*""knowledge"" + 0.007*""relate"" + 0.007*""culture"" + 0.007*""community"" + 0.007*""level"" + 0.007*""help"" + 0.007*""services"" + 0.006*""may"" + 0.006*""recruit"" + 0.006*""make"" + 0.005*""income"" + 0.005*""consider"" + 0.005*""lower"" + 0.005*""family"" + 0.005*""one"" + 0.005*""inclusion"" + 0.005*""client"" + 0.005*""privilege"" + 0.005*""general"" + 0.005*""impact"" + 0.005*""staff"" + 0.005*""behavior"" + 0.005*""outreach"" + 0.005*""minority"" + 0.005*""support"" + 0.004*""culturally"" + 0.004*""different"" + 0.004*""promote"" + 0.004*""speech"""
1,1,"0.035*""diversity"" + 0.021*""field"" + 0.016*""practice"" + 0.012*""behavior"" + 0.011*""create"" + 0.009*""people"" + 0.008*""culture"" + 0.008*""aba"" + 0.008*""individual"" + 0.008*""barrier"" + 0.007*""many"" + 0.007*""gender"" + 0.007*""training"" + 0.007*""need"" + 0.007*""speaker"" + 0.007*""ba"" + 0.007*""serve"" + 0.007*""within"" + 0.007*""academic"" + 0.006*""different"" + 0.006*""knowledge"" + 0.005*""increase"" + 0.005*""etc"" + 0.005*""opportunity"" + 0.005*""program"" + 0.005*""various"" + 0.005*""group"" + 0.005*""organization"" + 0.005*""resource"" + 0.005*""leadership"" + 0.005*""form"" + 0.005*""client"" + 0.005*""inclusion"" + 0.005*""analytic"" + 0.005*""bcbas"" + 0.005*""identity"" + 0.005*""mean"" + 0.005*""non"" + 0.005*""white"" + 0.005*""abai"" + 0.005*""1"" + 0.005*""community"" + 0.004*""recruit"" + 0.004*""better"" + 0.004*""scholarship"" + 0.004*""minority"" + 0.004*""also"" + 0.003*""work"" + 0.003*""services"" + 0.003*""know"""
2,2,"0.028*""diversity"" + 0.016*""field"" + 0.013*""client"" + 0.013*""bcba"" + 0.013*""cost"" + 0.010*""study"" + 0.010*""gender"" + 0.010*""make"" + 0.010*""research"" + 0.010*""professional"" + 0.010*""take"" + 0.010*""require"" + 0.009*""researcher"" + 0.007*""opportunity"" + 0.007*""relate"" + 0.007*""increase"" + 0.006*""diverse"" + 0.006*""behavior"" + 0.006*""need"" + 0.006*""issue"" + 0.006*""dysphoria"" + 0.006*""do"" + 0.006*""female"" + 0.006*""age"" + 0.006*""active"" + 0.006*""would"" + 0.006*""job"" + 0.006*""material"" + 0.006*""work"" + 0.006*""licensure"" + 0.006*""examination"" + 0.006*""license"" + 0.006*""culture"" + 0.006*""testing"" + 0.006*""coursework"" + 0.006*""ceus"" + 0.006*""process"" + 0.005*""learning"" + 0.003*""within"" + 0.003*""create"" + 0.003*""analyst"" + 0.003*""population"" + 0.003*""e"" + 0.003*""must"" + 0.003*""graduate"" + 0.003*""recruit"" + 0.003*""g"" + 0.003*""practice"" + 0.003*""represent"" + 0.003*""applicant"""
3,3,"0.036*""diversity"" + 0.032*""increase"" + 0.017*""field"" + 0.014*""different"" + 0.013*""analyst"" + 0.012*""level"" + 0.012*""education"" + 0.010*""recruit"" + 0.010*""diverse"" + 0.010*""culture"" + 0.009*""change"" + 0.008*""hire"" + 0.007*""family"" + 0.007*""ask"" + 0.007*""goal"" + 0.007*""question"" + 0.007*""topic"" + 0.007*""gender"" + 0.007*""one"" + 0.007*""make"" + 0.007*""need"" + 0.007*""study"" + 0.007*""time"" + 0.007*""candidate"" + 0.007*""conference"" + 0.006*""would"" + 0.006*""work"" + 0.005*""opportunity"" + 0.005*""graduate"" + 0.005*""well"" + 0.005*""know"" + 0.005*""focus"" + 0.005*""discipline"" + 0.005*""answer"" + 0.005*""person"" + 0.005*""likely"" + 0.005*""certification"" + 0.005*""past"" + 0.005*""judge"" + 0.005*""value"" + 0.005*""learn"" + 0.005*""bacb"" + 0.005*""race"" + 0.005*""career"" + 0.005*""medium"" + 0.005*""rbt"" + 0.005*""position"" + 0.005*""easy"" + 0.005*""recruitment"" + 0.005*""require"""
4,4,"0.013*""opportunity"" + 0.011*""school"" + 0.011*""scholarship"" + 0.011*""etc"" + 0.009*""diversity"" + 0.009*""increase"" + 0.009*""culture"" + 0.009*""student"" + 0.009*""better"" + 0.009*""behavior"" + 0.009*""disability"" + 0.008*""individual"" + 0.007*""diverse"" + 0.007*""different"" + 0.007*""high"" + 0.007*""child"" + 0.007*""population"" + 0.007*""e"" + 0.007*""race"" + 0.007*""cultural"" + 0.007*""sure"" + 0.007*""understanding"" + 0.006*""people"" + 0.005*""aba"" + 0.005*""assessment"" + 0.005*""recruit"" + 0.005*""religion"" + 0.005*""would"" + 0.005*""working"" + 0.005*""demographic"" + 0.005*""job"" + 0.005*""chance"" + 0.005*""contact"" + 0.005*""fair"" + 0.005*""well"" + 0.005*""giving"" + 0.005*""traditionally"" + 0.005*""career"" + 0.005*""level"" + 0.005*""value"" + 0.005*""recruitment"" + 0.005*""1"" + 0.005*""university"" + 0.005*""difficult"" + 0.005*""abai"" + 0.005*""information"" + 0.005*""making"" + 0.005*""educate"" + 0.005*""higher"" + 0.005*""certification"""
5,5,"0.050*""field"" + 0.026*""people"" + 0.025*""aba"" + 0.014*""analysis"" + 0.013*""behavior"" + 0.013*""school"" + 0.012*""would"" + 0.011*""community"" + 0.009*""different"" + 0.009*""well"" + 0.009*""student"" + 0.009*""services"" + 0.009*""exposure"" + 0.009*""high"" + 0.008*""wide"" + 0.008*""think"" + 0.008*""population"" + 0.008*""opportunity"" + 0.007*""require"" + 0.007*""benefit"" + 0.007*""autism"" + 0.007*""ways"" + 0.007*""provide"" + 0.007*""science"" + 0.007*""apply"" + 0.006*""know"" + 0.005*""make"" + 0.005*""understand"" + 0.005*""education"" + 0.005*""practitioner"" + 0.005*""like"" + 0.005*""underrepresented"" + 0.005*""diverse"" + 0.005*""individual"" + 0.005*""cover"" + 0.005*""involve"" + 0.005*""educate"" + 0.005*""could"" + 0.005*""course"" + 0.005*""background"" + 0.005*""become"" + 0.005*""especially"" + 0.005*""intervention"" + 0.005*""experience"" + 0.005*""share"" + 0.005*""variety"" + 0.005*""information"" + 0.005*""possible"" + 0.005*""gear"" + 0.005*""expand"""
6,6,"0.017*""field"" + 0.013*""people"" + 0.012*""need"" + 0.011*""diversity"" + 0.009*""male"" + 0.009*""include"" + 0.009*""diverse"" + 0.009*""client"" + 0.009*""area"" + 0.008*""level"" + 0.008*""work"" + 0.008*""population"" + 0.007*""source"" + 0.007*""institution"" + 0.007*""aba"" + 0.006*""individual"" + 0.006*""background"" + 0.006*""education"" + 0.006*""employer"" + 0.006*""color"" + 0.006*""behavior"" + 0.006*""make"" + 0.006*""payor"" + 0.006*""state"" + 0.006*""practitioner"" + 0.006*""base"" + 0.006*""feel"" + 0.006*""student"" + 0.006*""within"" + 0.005*""increase"" + 0.004*""encourage"" + 0.004*""female"" + 0.004*""acceptance"" + 0.004*""issue"" + 0.004*""adapt"" + 0.004*""course"" + 0.004*""explore"" + 0.004*""change"" + 0.004*""neurodiverse"" + 0.004*""access"" + 0.004*""group"" + 0.004*""influence"" + 0.004*""equal"" + 0.004*""contribute"" + 0.004*""experience"" + 0.004*""pool"" + 0.004*""treatment"" + 0.004*""bcbas"" + 0.004*""organization"" + 0.004*""may"""
7,7,"0.030*""field"" + 0.025*""people"" + 0.019*""work"" + 0.016*""increase"" + 0.015*""diversity"" + 0.013*""community"" + 0.012*""color"" + 0.012*""think"" + 0.010*""need"" + 0.010*""also"" + 0.009*""diverse"" + 0.009*""opportunity"" + 0.008*""aba"" + 0.008*""voice"" + 0.008*""could"" + 0.007*""company"" + 0.007*""would"" + 0.006*""services"" + 0.006*""well"" + 0.006*""know"" + 0.006*""get"" + 0.006*""family"" + 0.006*""better"" + 0.006*""program"" + 0.005*""minority"" + 0.005*""make"" + 0.005*""behavior"" + 0.005*""different"" + 0.005*""language"" + 0.005*""like"" + 0.005*""student"" + 0.005*""job"" + 0.005*""open"" + 0.005*""receive"" + 0.005*""pay"" + 0.005*""include"" + 0.005*""professional"" + 0.005*""consistent"" + 0.005*""e"" + 0.005*""rbts"" + 0.005*""school"" + 0.005*""specifically"" + 0.005*""client"" + 0.004*""autistic"" + 0.004*""background"" + 0.004*""many"" + 0.004*""scholarship"" + 0.004*""become"" + 0.004*""continue"" + 0.004*""position"""
8,8,"0.018*""diversity"" + 0.017*""field"" + 0.013*""individual"" + 0.013*""people"" + 0.013*""area"" + 0.013*""cultural"" + 0.012*""behavior"" + 0.010*""diverse"" + 0.010*""consider"" + 0.010*""education"" + 0.010*""need"" + 0.010*""access"" + 0.010*""assessment"" + 0.010*""change"" + 0.009*""might"" + 0.008*""school"" + 0.008*""analysis"" + 0.007*""group"" + 0.007*""base"" + 0.007*""se"" + 0.007*""value"" + 0.007*""language"" + 0.007*""white"" + 0.007*""terms"" + 0.007*""create"" + 0.007*""etc"" + 0.007*""target"" + 0.007*""allow"" + 0.007*""afford"" + 0.007*""find"" + 0.007*""try"" + 0.007*""become"" + 0.007*""part"" + 0.007*""certify"" + 0.006*""system"" + 0.003*""research"" + 0.003*""goal"" + 0.003*""evaluate"" + 0.003*""funding"" + 0.003*""treatment"" + 0.003*""study"" + 0.003*""outreach"" + 0.003*""opportunity"" + 0.003*""low"" + 0.003*""possible"" + 0.003*""start"" + 0.003*""stop"" + 0.003*""simply"" + 0.003*""focusing"" + 0.003*""quality"""
9,9,"0.029*""people"" + 0.025*""different"" + 0.019*""diverse"" + 0.016*""field"" + 0.014*""opportunity"" + 0.013*""culture"" + 0.012*""diversity"" + 0.011*""understand"" + 0.011*""individual"" + 0.010*""question"" + 0.010*""hire"" + 0.010*""ask"" + 0.009*""background"" + 0.009*""behavior"" + 0.008*""training"" + 0.007*""level"" + 0.007*""address"" + 0.007*""degree"" + 0.007*""access"" + 0.007*""topic"" + 0.007*""scholarship"" + 0.007*""include"" + 0.007*""promote"" + 0.007*""learn"" + 0.006*""population"" + 0.006*""analysis"" + 0.005*""race"" + 0.005*""become"" + 0.005*""better"" + 0.005*""issue"" + 0.005*""work"" + 0.005*""cultural"" + 0.005*""problem"" + 0.005*""master"" + 0.005*""bcba"" + 0.005*""eliminate"" + 0.005*""many"" + 0.005*""education"" + 0.005*""possibly"" + 0.005*""experience"" + 0.005*""recruit"" + 0.005*""mentorship"" + 0.005*""far"" + 0.005*""minority"" + 0.005*""group"" + 0.005*""like"" + 0.005*""journal"" + 0.005*""bring"" + 0.005*""represent"" + 0.005*""podcast"""
